provinsi,kasus_kumulatif,sembuh,meninggal,kasus_aktif,kasus_per_100000_penduduk
Aceh,25369,18395,1090,5884,481
Bali,87217,71799,2481,12937,2020
Bangka Belitung Islands,38836,31426,881,6529,2668
Banten,121025,103314,2353,15358,1017
Bengkulu,20379,16287,310,3782,1014
Central Java,419356,353598,23007,42751,1148
Central Kalimantan,37513,31499,1014,5000,1405
Central Sulawesi,29967,19783,865,9319,1004
East Java,339239,273493,23292,42454,834
East Kalimantan,132280,108113,4051,20116,3512
East Nusa Tenggara,48660,36510,894,11256,914
Gorontalo,9416,7303,277,1836,804
Jakarta,832227,809058,12812,10357,7879
Jambi,22882,17548,520,4814,645
Lampung,39813,30309,2675,6829,442
Maluku,13737,10593,234,2910,743
North Kalimantan,25531,18050,471,7010,3638
North Maluku,10840,8783,253,1804,845
North Sulawesi,27784,21198,794,5792,1060
North Sumatra,72884,46128,1691,25065,492
Papua,28934,17041,303,11590,672
Riau,108588,92162,2978,13448,1698
Riau Islands,48494,42659,1354,4481,2349
South Kalimantan,54679,42069,1603,11007,1342
South Sulawesi,92160,78579,1564,12017,1016
South Sumatra,52068,40082,2422,9564,615
Southeast Sulawesi,17930,14174,414,3342,683
Special Region of Yogyakarta,130414,92944,3958,33512,3555
West Java,639404,546105,10497,82802,1325
West Kalimantan,29243,23772,743,4728,540
West Nusa Tenggara,21787,19539,598,1650,410
West Papua,20223,17461,300,2462,1783
West Sulawesi,9412,7538,200,1674,663
West Sumatra,78449,62349,1672,14428,1417
Total,3718821,3171147,110619,437055,1376
