Nama,Alamat,No_Telepon,URL,Waktu_Update
DPW Partai Nasdem,"Jl. Cipaganti No.158, Kel. Cipaganti, Kec. Coblong",082262271966,https://www.instagram.com/nasdem.jabar/,6/8/2021
Klinik Prima Husada,,0817751111,,3/8/2021
Ruang Kolaborasi Bandung x Klinik Prima Husada,,http://wa.me/62817751111,bit.ly/RuangKolaborasiVaksinasi,6/8/2021
BEM REMA UPI 2021,Gymnasium Kampus UPI,081313285669,bit.ly/VaksinasiMahasiswaUPIdanMasyarakatUmum,
Holywings,"Jl. Pasir Kaliki No.25, Arjuna, Kec. Cicendo, Kota Bandung",08118135168,"https://www.google.com/maps/place/Holywings+Gold+Bandung/@-6.9156398,107.5920104,15z/data=!4m5!3m4!1s0x0:0x2d7ab7cb13aac56b!8m2!3d-6.9156398!4d107.5920104",
Holywings Bandung,"Jl. Karangsari No.10, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",08118951168,,
Ikatan Alumni Bandung / Vaksinasi Ganesha,Sabuga - ITB,081311709796,,
Institut Teknologi Nasional,Jl. PH H. Mustopa No. 23 Bandung.,0227272215,https://www.instagram.com/p/CRlRQXvMbVc/,
Jabar Quick Response,,,,
Kampus Telkom University,"Jl. Telekomunikasi Jl. Terusan Buah Batu, Sukapura, Kec. Dayeuhkolot, Kota Bandung, Jawa Barat 40257",,sentravaksin.com,
Klinik Afiati,"Jl. Raya Kopo No.59, Panjunan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242",082117081847,,
Klinik Diamond Medika Bandung,"Jl. Batununggal Indah II No.53, Mengger, Kec. Bandung Kidul, Kota Bandung, Jawa Barat 40267",(022) 87302162,https://www.instagram.com/klinik.diamondmedika/,
Klinik Greencare,"Jl. Cipamokolan No.147, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40292",(022) 7563115,,
Klinik Pratama Bio Farma,"Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",082121511511,,
Klinik Utama Padjadjaran Medical Center,"Jl. Pajajaran No.149, Arjuna, Kec. Cicendo, Kota Bandung, Jawa Barat 40172",0878787702011,,
Market Place (Shopee),IKEA Kota Baru Parahyangan (Area Parkir),,https://shopee.co.id/m/vaksin-gratis-shopee?smtt=0.0.3,
Poltekkes Bandung,"Jl. Pajajaran No.56, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",(022) 4231639,,
Puskesmas Ahmad Yani,Jl. Lapangan Kebon Waru No. 8,082127639014,,
Puskesmas Antapani,"Jl. Majalaya 2, Antapani Wetan, Kec. Antapani",081324944540,,
Puskesmas Arcamanik,"Jl. Olahraga No.7, Sukamiskin, Kec. Arcamanik",08817752187,,
Puskesmas Astana Anyar,"Jl. Rasdan No.1, Nyengseret, Kec. Astanaanyar",082127687763,,
Puskesmas Babakan Sari,"Jl. Babakan Sari 1 No.183, Babakan Sari, Kec. Kiaracondong",081285602023,,
Puskesmas Babakan Surabaya,"Jl. Atlas VII No.25, Babakan Surabaya, Kec. Kiaracondong",081389076818,,
Puskesmas Babakan Tarogong,"Jl. Babakan Tarogong No.46, Babakan Asih, Kec. Bojongloa Kaler",089537007400,,
Puskesmas Babatan,"Jl. Babatan No.4, Kb. Jeruk, Kec. Andir",085703028386,,
Puskesmas Balaikota,"Jl. Wastukencana No. 2, Kel. Babakan Ciamis",081222131682,https://www.instagram.com/p/CRnEYUhAbT4/,
Puskesmas Caringin,"Jl. Caringin No. 103 Kel. Babakan Ciparay, Kec Babakan",081318500966,https://www.instagram.com/p/CRDMdEsgHI9/,
Puskesmas Cempaka Arum,"Jl. Griya Cempaka Arum, Gedebage, Rancanumpang",082116583053,,
Puskesmas Cibaduyut Kidul,"Jl. Sewu No.2, Cibaduyut Kidul, Kec. Bojongloa Kidul",081382352781,,
Puskesmas Cibaduyut Wetan,"Jl. Pitaloka No.1, Cibaduyut Wetan, Kec. Bojongloa Kidul",082316294151,,
Puskesmas Cibiru,"Jl. Manisi No.87, Cipadung, Kec. Cibiru",0811216560,,
Puskesmas Cibolerang,"Jl. Cibolerang No.187, Margasuka, Kec. Babakan Ciparay",085774859445,,
Puskesmas Cibuntu,"Jl. Syahbandar No.1, Cigondewah Rahayu, Kec. Bandung Kulon",082118061073,,
Puskesmas Cigadung,"Jl. Cigadung Raya Barat No.12, Cigadung, Kec. Cibeunying Kaler",081316978272,,
Puskesmas Cigondewah,"Jl. Cigondewah Kaler, Bandung Kulon, Cigondewah Kaler, Kec. Bandung Kulon",082218145617,,
Puskesmas Cijagra Baru,"Jl. Cijagra No.28, Cijagra, Kec. Lengkong",087823639273,,
Puskesmas Cijagra Lama,"Jl. Buah Batu No.275, Turangga, Kec. Lengkong",081912800078,,
Puskesmas Cijerah,"Jalan Mekar Hegar 1, komplek BTN Saibi No.1, RT.3/RW.08, Cijerah, Kec. Bandung Kulon",082130528810,,
Puskesmas Cikutra Lama,"Jl. Cikutra Barat No.5, Sadang Serang, Kecamatan Coblong",08122426245,,
Puskesmas Cilengkrang,"Jatiendah, Kec. Cilengkrang",081220555656,,
Puskesmas Cinambo,"Jl. Gedebage Selatan No.19A, Babakan Penghulu, Cinambo",082111431142,,
RS Advent,"Jl. Cihampelas No.161, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131",082258858870,,
RS Bhayangkara Sartika Asih,"Jl. Moh. Toha No.369, Ciseureuh, Kec. Regol, Kota Bandung, Jawa Barat 40256",081221878642,,
RS Khusus Gigi dan Mulut,"Jl. L. L. R.E. Martadinata No.45, Citarum, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40115",081316664337,,
RS Khusus Gigi Ny. R.A Habibie,"Jl. Tubagus Ismail Raya No.46, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat 40134",08112049777,,
RS Mata Cicendo,"Jl. Cicendo No.4, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",081221112057,,
RS Muhammadiyah,"Jl. K.H. Ahmad Dahlan No.53, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",088289488745,,
RS Umum Kebonjati,"Jl. Kebon Jati No.152, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40182",(022) 6031969,,
RS. Paru Rotinsulu,"Jl. Bukit Jarian No.40, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",,http://vaksin.rsparurotinsulu.org/,
RSAU dr. M.Salamun,". Jl. Ciumbeleuit No.203, Kec. Cidadap",081221690077,,
RSGM Maranatha,"Jl. Surya Sumantri No.65, Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat 40164",(022) 2005935,,
RSHS,"Jl. Pasteur No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia",(022) 2551111,,
RSIA Al Islam,"Jl. Awi Bitung No.29-31, Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40121",088229489784,,
RSIA Harapan Bunda,"Jl. Pluto Raya Blok C, Margahayu Raya, Margasari, Buahbatu, Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40218",082232742278,,
RSUD Kota Bandung,"Jl. Rumah Sakit No.22, Pakemitan, Cinambo, Kota Bandung, Jawa Barat 45474",(022) 7811794,,
RSUP Dr. Hasan Sadikin,"Jl. Pasteur No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161",(022) 2034953,,
Rumah Sakit Khusus Ibu dan Anak,"Jl. Raya Kopo No.311 RT 03/05, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233",0812221958442,,
Santosa Hospital Bandung Central,"Jl. Kebon Jati No.38, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181",0895619392658,,
Sentra Vaksinasi Hippindo,Paris van Java Mall,,www.hippindo.com,
STIE Pasundan,Kampus STIE Pasundan. Jl. Turangga No. 37-41 Bandung,087720052000,https://vaksincovid19.stiepad.ac.id,
STIE Pasundan Bandung,Jl. Turangga No. 37-41 Bandung,087720052000,,
Univ. Muhammadiyah,"Jl. Soekarno-Hatta No.752, Cipadung Kidul, Kec. Panyileukan",08112346276,https://www.instagram.com/p/CQ3I6vbsITg/?utm_medium=copy_link,
